	xml	date	event	catchwords
58	00627-eintrag_vom_1448-12-20.xml	1448-12-20	ev__SB_CD_00627	hat versaczt | jerlich dint | zu purkrecht
59	00627-eintrag_vom_1448-12-20.xml	1448-12-20	NULL	jerlich dint | zu purkrecht
60	00966-eintrag_vom_1448-06-07.xml	1448-06-07	ev__SB_CD_00966	hat versaczt | jérlich dint | zu gruntdinst | so dint man auch sunderlich | ze purkrecht
61	00966-eintrag_vom_1448-06-07.xml	1448-06-07	NULL	jérlich dint | zu gruntdinst
62	00966-eintrag_vom_1448-06-07.xml	1448-06-07	NULL	so dint man auch sunderlich | ze purkrecht
63	00968-eintrag_vom_1448-07-10.xml	1448-07-10	ev__SB_CD_00968	habend versaczt
64	00969-eintrag_vom_1448-10-30.xml	1448-10-30	ev__SB_CD_00969	habent verkaufft | gelts purkrechts | mezz | gestifft hat
65	00969-eintrag_vom_1448-10-30.xml	1448-10-30	NULL	mezz | gestifft hat
66	00970-eintrag_vom_1448-11-20.xml	1448-11-20	ev__SB_CD_00970	hat verchaufft | gelts purkrechts
67	00971-eintrag_vom_1448-12-16.xml	1448-12-16	ev__SB_CD_00971	habent verchaufft | gelts purkrechts | jerlich dint | jerlich dint | zu purkrecht | und sind emalen gelegen auf | messe | gestifft hat
68	00971-eintrag_vom_1448-12-16.xml	1448-12-16	NULL	jerlich dint
69	00971-eintrag_vom_1448-12-16.xml	1448-12-16	NULL	jerlich dint | zu purkrecht
70	00971-eintrag_vom_1448-12-16.xml	1448-12-16	NULL	und sind emalen gelegen auf
71	00971-eintrag_vom_1448-12-16.xml	1448-12-16	NULL	messe | gestifft hat
72	01099-eintrag_vom_1448-02-20.xml	1448-02-20	ev__SB_CD_01099	hat versatzt
73	01100-eintrag_vom_1448-04-29.xml	1448-04-29	ev__SB_CD_01100	hat versaczt
74	01146-eintrag_vom_1448-04-12.xml	1448-04-12	ev__SB_CD_01146	hat versaczt die uberteurung | nach lautt ains briefs vor | verschriben hat
