	PersName	sex	number	xml	year
422	#pe__hansuezz_QGW_II_I_1599	f	1	1599.xml	1404
423	#pe__steuzz_der_jud_QGW_II_I_1599	m	1	1599.xml	1404
424	#pe__riffka_QGW_II_I_1599	f	1	1599.xml	1404
425	#pe__abraham_QGW_II_I_1599	m	1	1599.xml	1404
426	#pe__katharina_QGW_II_I_1603	m	1	1603.xml	1404
427	#pe__eisal_QGW_II_I_1603	f	1	1603.xml	1404
428	#pe__siegfried_fuechsel	m	1	1603.xml	1404
429	#pe__oswald_ingelsteter_QGW_II_I_1604	m	1	1604.xml	1404
430	#pe__johann_teschinger_QGW_II_I_1604	m	1	1604.xml	1404
431	#pe__konrad_oeffenlin_QGW_II_I_1604	m	1	1604.xml	1404
432	#pe__slanan_qgw_II_I_1605	f	1	1605.xml	1404
433	#pe__isaak_der_jud_von_bruenn_qgw_II_I_1605	m	1	1605.xml	1404
434	#pe__niklas_hauser_der_kursner_QGW_II_I_1606	m	1	1606.xml	1404
435	#pe__jakob_von_tulln_QGW_II_I_1607	m	1	1607.xml	1404
436	#pe__johann_von_graz_QGW_II_I_1607	m	1	1607.xml	1404
437	#pe__gertrude_QGW_II_I_1607	f	1	1607.xml	1404
438	#pe__leopold_sigharczhofer	m	1	1607.xml	1404
439	#pe__niklas_rot	m	1	1608.xml	1404
440	#pe__margarethe_QGW_II_I_1608	f	1	1608.xml	1404
441	#pe__niklas_chaeser	m	1	1608.xml	1404
442	#pe__christian_tatler	m	1	1608.xml	1404
443	#pe__agnes_QGW_II_I_1608	f	1	1608.xml	1404
444	#pe__katharina_QGW_II_I_1609	f	1	1609.xml	1404
445	#pe__friedrich_der_tischler_QGW_II_I_1609	m	1	1609.xml	1404
446	#pe__elisabeth_QGW_II_I_1609	f	1	1609.xml	1404
447	#pe__stephan_fraunschuechl_QGW_II_I_1609	m	1	1609.xml	1404
448	#pe__christine_QGW_II_I_1609	f	1	1609.xml	1404
449	#pe__anna_QGW_II_I_1609	f	1	1609.xml	1404
450	#pe__simon_der_zinngiesser_QGW_II_I_1609	m	1	1609.xml	1404
451	#pe__michael_wuerfel_QGW_II_I_1609	m	1	1609.xml	1404
452	#pe__katharina_QGW_II_I_1610	f	1	1610.xml	1404
453	#pe__peter_raidl_QGW_II_I_1610	m	1	1610.xml	1404
