	off	normed	Person	Related Person	Regest	Year	Date	from	to
57	burgermaister	Buergermeister	pe__paul_wuerfel	org__wien	1509	1402	1402-04-27		
58	curherr	Kanoniker	pe__georg_weikersdorfer	org__st_stephan	1510	1402	1402-04-27		
59	statschreiber	Stadtschreiber	pe__ulrich_herwart	org__wien	1510	1402	1402-04-27		
60	aussern rats der stat zu Wienn	Ratsherr_aeusserer	pe__paul_geir	org__wien	1510	1402	1402-04-27		
61	rats der stat	Ratsherr	pe__heinrich_verber_QGW_II_I_1511	org__wien	1511	1402	1402-06-08		
62	rats der stat	Ratsherr	pe__martin_hausleitter	org__wien	1511	1402	1402-06-08		
63	amptman	Amtmann	pe__johann_QGW_II_I_1512	org__herzog	1512	1402	1402-06-25		
64	richter	Richter	pe__heinrich_gravenperiger_QGW_II_I_1512	org__herzog	1512	1402	1402-06-25		
65	burgermaister	Buergermeister	pe__paul_wuerfel	org__wien	1513	1402	1402-07-27		
66	obrister spitalmaister	oberster_Spitalmeister	pe__andreas_vischl	org__buergerspital	1513	1402	1402-07-27		
67	Bergherrn	Bergherr_frau	pe__hugo_von_wehing	org__st_johanneskapelle_in_der_kaerntnerstrasse	1513	1402	1402-07-27		
68	comiteur	Komiteur	pe__hugo_von_wehing	org__st_johanneskapelle_in_der_kaerntnerstrasse	1513	1402	1402-07-27		
69	comiteur	Komiteur	pe__michael_QGW_II_I_1238	org__deutsche_herren	1513	1402	1402-07-27		
70	pharrer	Pfarrer	pe__niklas_von_neuburg_QGW_II_I_1438	org__huetteldorf_pfarre	1514	1402	1402-08-17		
71	herzog	Herzog_in	pe__ernst_herzog_von_oesterreich	org__oesterreich_herzogtum	1516	1402	1402-08-29		
72	Bürgermeisters	Buergermeister	pe__paul_wuerfel	org__wien	1516	1402	1402-08-29		
73	Stadtschreibers	Stadtschreiber	pe__ulrich_herwart	org__wien	1516	1402	1402-08-29		
74	chorherr	Chorherr	pe__peter_QGW_II_I_1177	org__st_stephan	1517	1402	1402-09-07		
75	chaplan	Kaplan	pe__peter_QGW_II_I_1177	org__st_stephan-st_achatius	1517	1402	1402-09-07		
76	rates	Ratsherr	pe__martin_hausleitter	org__wien	1517	1402	1402-09-07		
77	rats der stat	Ratsherr	pe__konrad_wolkersdorfer_QGW_II_I_1519	org__wien	1519	1402	1402-10-25		
78	rats der stat	Ratsherr	pe__niklas_hildebrant_QGW_II_I_1519	org__wien	1519	1402	1402-10-25		
79	abbtessinne	Abt_in	pe__dorothea_von_gutenstain	org__st_klara	1520	1402	1402-12-12		
80	kaplan	Kaplan	pe__ortolf_von_kleinrustpach	org__marienkapelle_am_gestade	1520	1402	1402-12-12		
81	rats der stat	Ratsherr	pe__oswald_pauch	org__wien	1520	1402	1402-12-12		
82	amptman	Amtmann	pe__konrad_rampersdorfer	org__klosterneuburg_augustinerchorherren	1521	1402	1402-12-20		
83	Bürgermeisters	Buergermeister	pe__haunold_schuchler_II_QGW_II_I_1557	org__wien	1522	1402	1402-12-20		
84	chaplan	Kaplan	pe__kaspar_gerhart	org__st_michael	1522	1402	1402-12-20		
85	judenrichter	Judenrichter	pe__stephan_radeundl	org__wien	1522	1402	1402-12-20		
86	statrichter	Richter_Stadt	pe__peter_angerfelder	org__wien	1523	1403	1403-01-12		
