	ref	regest	Regest Text	reg Name	type	observance	fn role	Events ref	regest date	from	to	year	fromyear	toyear
131	org__st_stephan	1560	chorherrn dacz sand Stephan ze Wienn	St. Stephan	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1560	1403-10-05			1403		
132	org__st_stephan	1560	S. Stephan	St. Stephan	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1560	1403-10-05			1403		
133	org__wien	1562	rats gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1562	1403-10-12			1403		
134	org__wien	1562	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1562	1403-10-12			1403		
135	org__st_hieronymus_kapelle	1563	sand Jeronimi chapellen zu Wienn auf Gotesleichnams altar zu einer ewigen Messe	 	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1563	1403-11-10			1403		
136	org__st_stephan	1565	ihre Kapelle dacz sand Stephan ze Wienn, die geweicht ist in den ern sand Morand	St. Stephan	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1565	1403-11-27			1403		
137	org__moedling_pfarre	1566	pharrkirichen ze Medling	 	Pfarre	 	None	#ev__QGW_II_I_1566	1403-12-29			1403		
138	org__schreiberzeche_auf_dem_neuen_karner	1566	pruederschaft auf dem neun Charner dacz sand Stephan ze Wienn	Schreiberzeche auf dem Neuen Karner	Zeche_Bruderschaft	 	None	#ev__QGW_II_I_1566	1403-12-29			1403		
139	org__schreiberzeche_auf_dem_neuen_karner	1566	dieser Bruderschaft	Schreiberzeche auf dem Neuen Karner	Zeche_Bruderschaft	 	recipient	#ev__QGW_II_I_1566	1403-12-29			1403		
140	org__herzog	1566	herzoglichen Bergsiegel	herzoglich etc	Hof	 	witness	#ev__QGW_II_I_1566	1403-12-29			1403		
141	org__klosterneuburg_augustinerchorherren	1567	klosters ze Neunburkch	Klosterneuburg-Augustinerchorherren	Kloster_m	CanReg	None	#ev__QGW_II_I_1567	1404-01-05			1404		
142	org__st_stephan	1567	chaplanei, die Jo/erg der Nustorffer, dem got gnad geschafft hat hinz sand Stephan ze Wienn, zu dieser Kaplanei	St. Stephan	Kirche_Kapelle	 	None	#ev__QGW_II_I_1567	1404-01-05			1404		
143	org__st_stephan	1569	sand Morando chapellen, gelegen dacz sand Stephann ze Wienn	St. Stephan	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1569	1404-01-17			1404		
144	org__wien	1570	baid rêt, der inner und der ausser, und die ganz gemain der stat ze Wienn	Wien	Stadt	 	issuer	#ev__QGW_II_I_1570	1404-01-17			1404		
145	org__wien	1570	stat	Wien	Stadt	 	witness	#ev__QGW_II_I_1570	1404-01-17			1404		
146	org__buergerspital	1573	rates	Bürgerspital	Spital_Siechenhaus	 	other	#ev__QGW_II_I_1573	1404-01-24			1404		
147	org__buergerspital	1573	Spitals	Bürgerspital	Spital_Siechenhaus	 	witness	#ev__QGW_II_I_1573	1404-01-24			1404		
148	org__wien	1575	baid rêt, der inner und der ausser, und die ganz gemain der stat ze Wienn	Wien	Stadt	 	issuer	#ev__QGW_II_I_1575	1404-01-29			1404		
149	org__wien	1575	stat ze Wienn	Wien	Stadt	 	witness	#ev__QGW_II_I_1575	1404-01-29			1404		
150	org__wien	1578	Bürgermeister, Richter und Rathe zu Wien	Wien	Stadt	 	recipient	#ev__QGW_II_I_1578	1404-03-20			1404		
151	org__wien	1579	rats gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1579	1404-04-19			1404		
152	org__st_stephan	1579	curherren dacz Allerheiligen tumkirchen dacz sand Stephan ze Wienn zu einem ewigen Jahrtage	St. Stephan	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1579	1404-04-19			1404		
153	org__wien	1579	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1579	1404-04-19			1404		
