	ref	Regest Text	reg Name	Sex	Titles	Titles norm	Titles ref	Titles ref norm	Professions	Professions norm	staff	staff norm	off	off norm	fn role	Events ref	regest	regest date	from	to	dead	earliest possible death	year	fromyear	toyear
391	pe__siegfried_schaidnagl	Seifrids seligen des Schaidnagls	Siegfried Schaidnagl	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1546	1546	1403-07-02			False	 	1403		
392	pe__andreas_an_dem_st_petersfreithof	vorgenannten hern Andres, amptman hern Antonien, brobst dacz Allerheiligen tumkirchen dacz sand Stephan ze Wienn	Andreas an dem St Petersfreithof an dem St. Petersfreithof	m	hern; hern	Herr; Herr	 	 	 	 	 	 	amptman; brobst	Amtmann; Propst	other	#ev__QGW_II_I_1546	1546	1403-07-02			False	 	1403		
393	pe__anton_QGW_II_I_1223	hern Antonien, brobst dacz Allerheiligen tumkirchen dacz sand Stephan ze Wienn	Antonius	m	hern	Herr	 	 	 	 	 	 	brobst	Propst	other	#ev__QGW_II_I_1546	1546	1403-07-02			False	 	1403		
394	pe__andreas_an_dem_st_petersfreithof	Amtmannes	Andreas an dem St Petersfreithof an dem St. Petersfreithof	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1546	1546	1403-07-02			False	 	1403		
395	pe__friedrich_dietram	Wiener Bürgers hern Fridreichs des Dietrams	Friedrich Dietram Dietram	m	hern	Herr	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1546	1546	1403-07-02			False	 	1403		
396	pe__ulrich_der_muenzer_QGW_II_I_1547	Ulreich, der mu/ensser purger ze Wienn	Ulrich der Münzer	m	 	 	 	 	mu/ensser	Muenzer	 	 	 	 	issuer	#ev__QGW_II_I_1547	1547	1403-07-03			False	 	1403		
397	pe__haunold_schuchler_II_QGW_II_I_1557	Bürgermeisters hern Haunolden des Schu/echler	Haunold Schuchler der Jüngere II	m	hern	Herr	 	 	 	 	 	 	Bürgermeisters	Buergermeister	other	#ev__QGW_II_I_1547	1547	1403-07-03			False	 	1403		
398	pe__dorothea_QGW_II_I_1547	Hausfrau Dorothen	Dorothea	f	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1547	1547	1403-07-03			False	 	1403		
399	pe__katharina_QGW_II_I_1547	frühere Frau Kathrei, der got gnad	Katharina	f	 	 	 	 	 	 	 	 	 	 	None	#ev__QGW_II_I_1547	1547	1403-07-03			True	[datetime.date(1403, 7, 3)]	1403		
400	pe__ulrich_herwart	Stadtschreibers Ulreichs des Herwarts	Ulrich Herwart	m	 	 	 	 	 	 	 	 	Stadtschreibers	Stadtschreiber	witness	#ev__QGW_II_I_1547	1547	1403-07-03			False	 	1403		
401	pe__agnes_QGW_II_I_1548	Agnes, hausfrau Niklas hausfrau des Fraunmessers und Petreins seligen des Chremser, des schuster tochter	Agnes Fraunmesser	f	 	 	 	 	schuster	Schuster	 	 	 	 	issuer	#ev__QGW_II_I_1548	1548	1403-07-05			False	 	1403		
402	pe__niklas_fraunmesser_QGW_II_I_1548	Niklas hausfrau des Fraunmessers	Niklas Fraunmesser	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1548	1548	1403-07-05			False	 	1403		
403	pe__peter_kremser_QGW_II_I_1548	Petreins seligen des Chremser, des schuster	Peter Kremser der Schuster	m	 	 	 	 	schuster	Schuster	 	 	 	 	issuer	#ev__QGW_II_I_1548	1548	1403-07-05			True	[datetime.date(1403, 7, 5)]	1403		
404	pe__haunold_schuchler_II_QGW_II_I_1557	Bürgermeisters Herrn Haunolts des Schuchler	Haunold Schuchler der Jüngere II	m	Herrn	Herr	 	 	 	 	 	 	Bürgermeisters	Buergermeister	other	#ev__QGW_II_I_1548	1548	1403-07-05			False	 	1403		
405	pe__katharina_neunmarkterin_QGW_II_I_1528	Frau Kathrein der Neumarkchterin	Katharina Neunmarkterin	f	Frau	Frau	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1548	1548	1403-07-05			False	 	1403		
406	pe__georg_neuer	Wiener Bürgers Jorgen des Neuer	Georg Neuer Neuer	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1548	1548	1403-07-05			False	 	1403		
407	pe__rudolf_von_tierna	Rudolf	Rudolf von Tierna von Tierna	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1549	1549	1403-07-13			False	 	1403		
408	pe__ludwig_von_tierna	Ludweig, geprüder von Tyrna	Ludwig von Tierna von Tierna	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1549	1549	1403-07-13			False	 	1403		
409	pe__johann_wuerfel	Ritter hern Hannsen den Wurffel	Johann Würfel Würfel	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1549	1549	1403-07-13			False	 	1403		
410	pe__niklas_wuerfel_von_nussdorf	Brüder Niclasen	Niklas Würfel von Nussdorf	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1549	1549	1403-07-13			False	 	1403		
411	pe__ulrich_wuerfel	Brüder Ulreichen	Ulrich Würfel Würfel	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1549	1549	1403-07-13			False	 	1403		
412	pe__sigmund_wuerfel	Brüder Sigmund die Würffeln	Sigmund Würfel Würfel	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1549	1549	1403-07-13			False	 	1403		
413	pe__rudolf_von_tierna	Ausstellern	Rudolf von Tierna von Tierna	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1549	1549	1403-07-13			False	 	1403		
414	pe__ludwig_von_tierna	Ausstellern	Ludwig von Tierna von Tierna	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1549	1549	1403-07-13			False	 	1403		
415	pe__niklas_schikchseisen	Niklas der Schikchseisen ze Wienn	Niklas Schikchseisen der Schikchseisen zu Wien	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1550	1550	1403-08-16			False	 	1403		
416	pe__elisabeth_QGW_II_I_1550	Elspet, seine Hausfrau	Elisabeth Schikchseisen	f	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1550	1550	1403-08-16			False	 	1403		
417	pe__haunold_schuchler_II_QGW_II_I_1557	Bürgermeisters hern Haunolden des Schuchler	Haunold Schuchler der Jüngere II	m	hern	Herr	 	 	 	 	 	 	Bürgermeisters	Buergermeister	other	#ev__QGW_II_I_1550	1550	1403-08-16			False	 	1403		
418	pe__dietrich_QGW_II_I_1363	hern Dietreichen, Kaplan der ewigen Messe	Dietrich	m	hern	Herr	 	 	 	 	 	 	Kaplan	Kaplan	recipient	#ev__QGW_II_I_1550	1550	1403-08-16			False	 	1403		
419	pe__georg_von_nikolsburg	Jorgen von Nikolspurg, des aussern rats der stat ze Wienn	Georg von Nikolsburg	m	 	 	 	 	 	 	 	 	aussern rats der stat	Ratsherr_aeusserer	witness	#ev__QGW_II_I_1550	1550	1403-08-16			False	 	1403		
420	pe__wilhelm_herzog_von_oesterreich	Herzog Wilhalm	Herzog Wilhelm	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1551	1551	1403-08-17			False	 	1403		
421	pe__martin_der_wachsgiesser_QGW_II_I_1494	Wachsgiesser Wachsgiesser Martein	Martin der Wachsgiesser	m	 	 	 	 	Wachsgiesser	Wachsgiesser	Wachsgiesser	Wachsgiesser	 	 	recipient	#ev__QGW_II_I_1551	1551	1403-08-17			False	 	1403		
422	pe__pilgrim_QGW_II_I_1552_a	Piligreim, maister Piligreims seligen sun ze Wienn sun hern Rudolfs von Tierna chaplan für für	Pilgrim Weiss	m	maister; hern	Meister; Herr	 	 	 	 	 	 	chaplan	Kaplan	issuer	#ev__QGW_II_I_1552	1552	1403-08-21			False	 	1403		
423	pe__pilgrim_QGW_II_I_1552_b	maister Piligreims seligen sun ze Wienn	Plgrim zu Wien	m	maister	Meister	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1552	1552	1403-08-21			False	 	1403		
424	pe__rudolf_von_tierna	hern Rudolfs von Tierna	Rudolf von Tierna von Tierna	m	hern	Herr	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1552	1552	1403-08-21			False	 	1403		
425	pe__pilgrim_QGW_II_I_1552_a	sich	Pilgrim Weiss	m	 	 	 	 	 	 	 	 	 	 	other	#ev__QGW_II_I_1552	1552	1403-08-21			False	 	1403		
426	pe__jakob_von_neuburg_QGW_II_I_1552	hern Jacoben von Neunburch	Jakob von Neuburg	m	hern	Herr	 	 	 	 	 	 	 	 	other	#ev__QGW_II_I_1552	1552	1403-08-21			False	 	1403		
427	pe__pilgrim_QGW_II_I_1552_b	Eltern	Plgrim zu Wien	m	 	 	 	 	 	 	 	 	 	 	other	#ev__QGW_II_I_1552	1552	1403-08-21			False	 	1403		
428	pe__pilgrim_QGW_II_I_1552_a	Ausstellers	Pilgrim Weiss	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1552	1552	1403-08-21			False	 	1403		
429	pe__jakob_von_neuburg_QGW_II_I_1552	hern Jacobs von Neunburch	Jakob von Neuburg	m	hern	Herr	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1552	1552	1403-08-21			False	 	1403		
430	pe__rudolf_von_tierna	hern Rudolfs von Tierna	Rudolf von Tierna von Tierna	m	hern	Herr	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1552	1552	1403-08-21			False	 	1403		
431	pe__jakob_der_pekch_QGW_II_I_1553	Jakob, der pekch bei dem Rotenturn	Jakob der pekch bei dem Rotenturm	m	 	 	 	 	pekch	Baecker	 	 	 	 	issuer	#ev__QGW_II_I_1553	1553	1403-09-01			False	 	1403		
432	pe__barbara_QGW_II_I_1553	Barbara, seine Hausfrau	Barbara	f	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1553	1553	1403-09-01			False	 	1403		
433	pe__heinrich_QGW_II_I_1553_b	Haidenrekhen Kindern	Heinrich Haidenrekhen	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1553	1553	1403-09-01			False	 	1403		
434	pe__georg_QGW_II_I_1553	Jörgen, den unmündigen Kindern Haidenreichs seligen des ledrer	Georg	m	 	 	 	 	ledrer	Gerber	 	 	 	 	recipient	#ev__QGW_II_I_1553	1553	1403-09-01			False	 	1403		
435	pe__heinrich_QGW_II_I_1553_a	Haidenreichs seligen des ledrer	Heinrich Haidenreich der Lederer	m	 	 	 	 	ledrer	Gerber	 	 	 	 	recipient	#ev__QGW_II_I_1553	1553	1403-09-01			True	[datetime.date(1403, 9, 1)]	1403		
436	pe__leonhard_QGW_II_I_1553	Lienharts des Mu/echsen, pergmaister zu Eczkestorf der geistleichen herren ze Allerheiligental ze Maurbach, des ordens von Karthus	Leonhard der Muchs zu Atzgersdorf	m	 	 	 	 	 	 	 	 	pergmaister zu Eczkestorf	 	other	#ev__QGW_II_I_1553	1553	1403-09-01			False	 	1403		
437	pe__ulrich_wolf	Ulreichs des Wolfen, verweser der edeln herren guter von Liechtenstain von Mu/erau	Ulrich Wolf	m	 	 	 	 	 	 	 	 	verweser	Verweser	other	#ev__QGW_II_I_1553	1553	1403-09-01			False	 	1403		
438	pe__hugo_QGW_II_I_1553	pruder Haugen, prior ze Mauerbach	Hugo	m	pruder	Bruder	 	 	 	 	 	 	prior	Prior_in	witness	#ev__QGW_II_I_1553	1553	1403-09-01			False	 	1403		
439	pe__ulrich_wolf	Ulreichs des Wolfs	Ulrich Wolf	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1553	1553	1403-09-01			False	 	1403		
440	pe__niklas_valich	Niclas des Valichs, des rates der stat ze Wienn	Niklas Valich der Pfeilschnitzer	m	 	 	 	 	 	 	 	 	rates der stat	Ratsherr	witness	#ev__QGW_II_I_1553	1553	1403-09-01			False	 	1403		
441	pe__niklas_lerrer	Niklas der Lerrer, purger ze Wienn	Niklas Lerrer	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1554	1554	1403-09-06			False	 	1403		
442	pe__thomas_QGW_II_I_1527	Grundherrn des Schottenabtes hern Thomann	Thomas	m	Grundherrn; hern	Grundherr_frau; Herr	 	 	 	 	 	 	Schottenabtes	Abt_in	other	#ev__QGW_II_I_1554	1554	1403-09-06			False	 	1403		
443	pe__peter_QGW_II_I_1554	Kaplan dieser Messe hern Petrein, cantor dacz sand Stephan ze Wienn	Peter der Hofmeister	m	hern	Herr	 	 	 	 	 	 	Kaplan; cantor	Kaplan; Kantor	recipient	#ev__QGW_II_I_1554	1554	1403-09-06			False	 	1403		
444	pe__thomas_QGW_II_I_1527	Schottenabtes	Thomas	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1554	1554	1403-09-06			False	 	1403		
445	pe__herbert_in_der_scheffstraße	Herwarts in der Scheffstrass, der hochgeborn furstin frau Beatricis von Nurnberg, herzogin ze Osterreich amptman daselbs	Herbert in der Scheffstraße in der Scheffstraße	m	hochgeborn; furstin; frau	 ;  ; Frau	 	 	 	 	 	 	herzogin ze Osterreich; amptman	 ; Amtmann	witness	#ev__QGW_II_I_1554	1554	1403-09-06			False	 	1403		
446	pe__beatrix_von_zollern_nuernberg	hochgeborn furstin frau Beatricis von Nurnberg, herzogin ze Osterreich	Beatrix von Zollern Nürnberg von Zollern Nürnberg	f	hochgeborn; furstin; frau	 ;  ; Frau	 	 	 	 	 	 	herzogin ze Osterreich	 	witness	#ev__QGW_II_I_1554	1554	1403-09-06			False	 	1403		
447	pe__haunold_schuchler_II_QGW_II_I_1557	Haunold der Schuchler, burgermaister	Haunold Schuchler der Jüngere II	m	 	 	 	 	 	 	 	 	burgermaister	Buergermeister	issuer	#ev__QGW_II_I_1555	1555	1403-09-07			False	 	1403		
448	pe__simon_QGW_II_I_1555	bruder Simon, conventbruder in der geistleichen herren chloster dacz den Predigern ze Rab	Simon	m	bruder	Bruder	 	 	 	 	 	 	conventbruder	 	recipient	#ev__QGW_II_I_1555	1555	1403-09-07			False	 	1403		
449	pe__johann_QGW_II_I_1555	Hanns, sun Augustins seligen sun des chu/ersner	Johann	m	 	 	 	 	chu/ersner	 	 	 	 	 	recipient	#ev__QGW_II_I_1555	1555	1403-09-07			False	 	1403		
450	pe__august_der_kursner_QGW_II_I_1555	Augustins seligen sun des chu/ersner	August der Kürschner	m	 	 	 	 	chu/ersner	 	 	 	 	 	recipient	#ev__QGW_II_I_1555	1555	1403-09-07			False	 	1403		
451	pe__katharina_QGW_II_I_1555	swestern Kathrei, hausfrau Ulreichs hausfrau des eisner	Katharina	f	 	 	 	 	eisner	Eisner	 	 	 	 	recipient	#ev__QGW_II_I_1555	1555	1403-09-07			False	 	1403		
452	pe__ulrich_der_eisner_QGW_II_I_1555	Ulreichs hausfrau des eisner	Kunigunde der Eisner	m	 	 	 	 	eisner	Eisner	 	 	 	 	recipient	#ev__QGW_II_I_1555	1555	1403-09-07			False	 	1403		
453	pe__kunigunde_QGW_II_I_1555	swestern Ku/enigund, swestern hausfrau Jorgen hausfrau des fleischhakcher von Gumpolczkirchen	Kunigunde der Kürschner	f	 	 	 	 	fleischhakcher	Fleischhacker	 	 	 	 	recipient	#ev__QGW_II_I_1555	1555	1403-09-07			False	 	1403		
454	pe__georg_der_fleischhacker_von_gumpoltskirchen_QGW_II_I_1555	Jorgen hausfrau des fleischhakcher von Gumpolczkirchen	Georg der Fleischhacker von Gumpoltskirchen	m	 	 	 	 	fleischhakcher	Fleischhacker	 	 	 	 	recipient	#ev__QGW_II_I_1555	1555	1403-09-07			False	 	1403		
455	pe__margarethe_QGW_II_I_1556	Margret, Perchtolts des Lanngen witib witib die nu Hannsen den Gerolcztenner eleichen genomen hat	Margarethe Lang	f	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1556	1556	1403-09-13			False	 	1403		
456	pe__berthold_lang_QGW_II_I_1488	Perchtolts des Lanngen witib	Berthold Lang	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1556	1556	1403-09-13			True	[datetime.date(1403, 9, 13)]	1403		
457	pe__johann_geresteiner_QGW_II_I_1488	Manne	Johann Geresteiner Geroltcztenner von Gerestein	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1556	1556	1403-09-13			False	 	1403		
458	pe__johann_geresteiner_QGW_II_I_1488	ihm	Johann Geresteiner Geroltcztenner von Gerestein	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1556	1556	1403-09-13			False	 	1403		
459	pe__haunold_schuchler_II_QGW_II_I_1557	Bürgermeisters hern Haunolts des Schuchler	Haunold Schuchler der Jüngere II	m	hern	Herr	 	 	 	 	 	 	Bürgermeisters	Buergermeister	other	#ev__QGW_II_I_1556	1556	1403-09-13			False	 	1403		
460	pe__paul_wuerfel	Wiener Bürger 2. hern Pauln des Wurffels	Paul Würfel Würfel	m	hern	Herr	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1556	1556	1403-09-13			False	 	1403		
461	pe__johann_gallnroder_QGW_II_I_1556	aidems (auf Rasur) der Ausstellerin Hannsen des Galnroder Bürger	Johann Gallnroder	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1556	1556	1403-09-13			False	 	1403		
462	pe__ruediger_snurer_QGW_II_I_1557	Rueger der Snu/erer, innern rats	Rüdiger Snurer	m	 	 	 	 	 	 	 	 	innern rats	"Ratsherr_innerer
"	issuer	#ev__QGW_II_I_1557	1557	1403-09-14			False	 	1403		
463	pe__martin_hausleitter	Mert der Hausleitter, paid des innern rats der stat ze Wienn	Martin Hausleitter	m	 	 	 	 	 	 	 	 	innern rats	"Ratsherr_innerer
"	issuer	#ev__QGW_II_I_1557	1557	1403-09-14			False	 	1403		
464	pe__meinhard_der_pfeilschnitzer_QGW_II_I_1557	Meinhart, der pheilsniczer, des aussern rats	Meinhard der Pfeilschnitzer	m	 	 	 	 	 	 	 	 	aussern rats	Ratsherr_aeusserer	issuer	#ev__QGW_II_I_1557	1557	1403-09-14			False	 	1403		
465	pe__lesier_QGW_II_I_1557	Lesiern, dem Juden, öchem Parusch öchem von Perichtolczdorf	Lesier der Jud von Perchtoldsdorf	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1557	1557	1403-09-14			False	 	1403		
466	pe__patusch_QGW_II_I_1557	Parusch öchem von Perichtolczdorf	Patusch der Jud von Perchtoldsdorf	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1557	1557	1403-09-14			False	 	1403		
467	pe__anna_QGW_II_I_1558	Anna, des Stainpekchen witib	Anna Stainpekch	f	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1558	1558	1403-09-29			False	 	1403		
468	pe__anna_QGW_II_I_1558	sich	Anna Stainpekch	f	 	 	 	 	 	 	 	 	 	 	other	#ev__QGW_II_I_1558	1558	1403-09-29			False	 	1403		
469	pe__heinrich_QGW_II_I_1558	ihren Wirth Hainreich	Heinrich Stainpekch IV	m	 	 	 	 	 	 	 	 	 	 	other	#ev__QGW_II_I_1558	1558	1403-09-29			False	 	1403		
470	pe__sieghard_goldstain	ihren Vater Sighart den Goltstain got genade	Sieghard Goldstain	m	 	 	 	 	 	 	 	 	 	 	other	#ev__QGW_II_I_1558	1558	1403-09-29			True	[datetime.date(1403, 9, 29)]	1403		
471	pe__agnes_QGW_II_I_1558	ihre Mutter Agnes, den allen got genade	Agnes Goldstain	f	 	 	 	 	 	 	 	 	 	 	other	#ev__QGW_II_I_1558	1558	1403-09-29			True	[datetime.date(1403, 9, 29)]	1403		
472	pe__engel_QGW_II_I_1558	abt Engeln	Engel	m	 	 	 	 	 	 	 	 	abt	Abt_in	recipient	#ev__QGW_II_I_1558	1558	1403-09-29			False	 	1403		
473	pe__konrad_rokk	Wiener Bürger Chunrats des Rokken	Konrad Rokk Rokk	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1558	1558	1403-09-29			False	 	1403		
474	pe__konrad_hainpekch	Bürger Chunrats Hainpek	Konrad Hainpekch	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1558	1558	1403-09-29			False	 	1403		
475	pe__barbara_QGW_II_I_1559	Barbara, hausfrau tochter Hannsen tochter des pierpreuer dem got genad und Wolfharts hausfrau des Streithofer	Barbara Streithofer	f	 	 	 	 	pierpreuer	 	 	 	 	 	issuer	#ev__QGW_II_I_1559	1559	1403-10-04			False	 	1403		
476	pe__johann_der_bierbrauer_QGW_II_I_1559	Hannsen tochter des pierpreuer dem got genad	Johann der Bierbrauer	m	 	 	 	 	pierpreuer	 	 	 	 	 	issuer	#ev__QGW_II_I_1559	1559	1403-10-04			True	[datetime.date(1403, 10, 4)]	1403		
477	pe__wolfhard_streithofer_QGW_II_I_1559	Wolfharts hausfrau des Streithofer	Wolfhard Streithofer	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1559	1559	1403-10-04			False	 	1403		
478	pe__christine_QGW_II_I_1559	Witwe Mutter frau hausfrau Kristein, jezund Stephans hausfrau, des pechrer	Christine	f	frau	Frau	 	 	pechrer	Pechbrenner	 	 	 	 	recipient	#ev__QGW_II_I_1559	1559	1403-10-04			False	 	1403		
479	pe__stephan_der_pechrer_QGW_II_I_1559	Stephans hausfrau, des pechrer	Stephan der pechrer	m	 	 	 	 	pechrer	Pechbrenner	 	 	 	 	recipient	#ev__QGW_II_I_1559	1559	1403-10-04			False	 	1403		
480	pe__heinrich_verber_QGW_II_I_1511	Wiener Bürger Hainreichs des Verber	Heinrich Verber der Verber	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1559	1559	1403-10-04			False	 	1403		
481	pe__jakob_paumgartner	Bürger Jacobs des Paungartner	Jakob Paumgartner Paumgartner	m	 	 	 	 	 	 	 	 	 	 	witness	#ev__QGW_II_I_1559	1559	1403-10-04			False	 	1403		
482	pe__stephan_leitner	Stephan der Leitner, purger ze Wienn	Stephan Leitner	m	 	 	 	 	 	 	 	 	 	 	issuer	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
483	pe__wolfgang_purkchartsperger	Oheim Wolfgang der Purkchartsperger	Wolfgang Purkchartsperger	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
484	pe__heinrich_purkchartsperger	Bruder Hainreich	Heinrich Purkchartsperger	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
485	pe__katharina_QGW_II_I_1560_b	Frau Kathrein	Katharina	f	 	 	 	 	 	 	 	 	 	 	other	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
486	pe__anna_QGW_II_I_1560	verstorbenen Muhme Annen, die auf seinem Hofe gewesen ist	Anna	f	 	 	 	 	 	 	 	 	 	 	None	#ev__QGW_II_I_1560	1560	1403-10-05			True	[datetime.date(1403, 10, 5)]	1403		
487	pe__johann_chornteuer	Hannsen dem Chornteur	Johann Chornteuer	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
488	pe__konrad_der_kursner_QGW_II_I_1560	Chunraten, dem chürsner der hie zu Wienn ist,	Konrad der Kürschner zu Wien	m	 	 	 	 	chürsner	Kuerschner	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
489	pe__leonhard_purkchartsperger	Lienharten des Purkchartsperger	Leonhard Purkchartsperger	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
490	pe__ulrich_purkchartsperger	Ulreichen des Purkchartsperger	Ulrich Purkchartsperger	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
491	pe__katharina_QGW_II_I_1560_a	endlein Kathrein, Hermanns von Eslarn hausfraun	Katharina von Eslarn	f	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
492	pe__hermann_von_eslarn_ii	Hermanns von Eslarn	Hermann von Eslarn von Eslarn II	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
493	pe__magdalena_QGW_II_I_1560	endlein Magdalenen, Wolfharts von der Schebnicz hausfraun	Magdalena von der Schemnitz	f	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
494	pe__wolfhard_von_der_schemnitz	Wolfharts von der Schebnicz	Wolfhard von der Schemnitz von der Schemnitz	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
495	pe__stephan_swaeml	urenenklein Stephan chinden	Stephan Swaeml	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
496	pe__klara_QGW_II_I_1560	urenenklein Chlaren, Petreins sêligen des Swemleins chinden	Klara Swaeml	f	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
497	pe__peter_swaeml	Petreins sêligen des Swemleins	Peter Swaeml	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
498	pe__konrad_kirchperger	Chunrats des Kirchperger	Konrad Kirchperger	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
499	pe__wolfgang_purkchartsperger	Wolfgangen dem Purkchartsperger	Wolfgang Purkchartsperger	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
500	pe__heinrich_purkchartsperger	Brüdern Hainreichen	Heinrich Purkchartsperger	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
501	pe__michael_purkchartsperger	Brüdern Micheln	Michael Purkchartsperger	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
502	pe__michael_hungerperger	Diener Micheln dem Hungerperger	Michael Hungerperger	m	 	 	 	 	 	 	Diener	Diener_in	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
503	pe__ulrich_dorn	Ulreichen dem Dorn, seiner Schwester Sohn	Ulrich Dorn	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
504	pe__haczl_der_schuler_QGW_II_I_1560	>Haczlein, dem schuler , der bei ihm ist	Haczl der Schuler	m	 	 	 	 	 	 	schuler	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
505	pe__wolfgang_purkchartsperger	Freunden Wolfgang	Wolfgang Purkchartsperger	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
506	pe__heinrich_purkchartsperger	Freunden Hainreich, gebrüdern den Purkchartspergern	Heinrich Purkchartsperger	m	 	 	 	 	 	 	 	 	 	 	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
507	pe__paul_geir	Schwager Pauln dem Geir, des rats der stat ze Wienn	Paul Geir Geir	m	 	 	 	 	 	 	 	 	rats der stat ze Wienn	Ratsherr	recipient	#ev__QGW_II_I_1560	1560	1403-10-05			False	 	1403		
