	collection	xml	date	event	catchwords	normed
108	1448	00616-eintrag_vom_1448-07-19.xml	1448-07-19	ev__SB_CD_00616	habent verchaufft | gelts purkrechts	Burgrecht
109	1448	00617-eintrag_vom_1448-08-26.xml	1448-08-26	ev__SB_CD_00617	hat versaczt	Satz
110	1448	00618-eintrag_vom_1448-09-02.xml	1448-09-02	ev__SB_CD_00618	habent verchauft | gelts purkrechts	Burgrecht
111	1448	00619-eintrag_vom_1448-09-04.xml	1448-09-04	NULL	messe | gestifft hat	Stiftung
112	1448	00620-eintrag_vom_1448-11-20.xml	1448-11-20	ev__SB_CD_00620	hat versaczt	Satz
113	1448	00621-eintrag_vom_1448-11-27.xml	1448-11-27	ev__SB_CD_00621	hat versaczt	Satz
114	1448	00622-eintrag_vom_1448-12-09.xml	1448-12-09	ev__SB_CD_00622	hat versaczt	Satz
115	1448	00623-eintrag_vom_1448-12-13.xml	1448-12-13	ev__SB_CD_00623	hat verchaufft | geltz purkrechts	Burgrecht
116	1448	00624-eintrag_vom_1448-09-23.xml	1448-09-23	ev__SB_CD_00624	hat verchaufft | gelts purkrechtz	Burgrecht
117	1448	00625-eintrag_vom_1448-12-11.xml	1448-12-11	ev__SB_CD_00625	hat versaczt die uberteurung	Satz_Ueberteurung
118	1448	00626-eintrag_vom_1448-12-20.xml	1448-12-20	ev__SB_CD_00626	hat verchaufft | gelts purkrechts	Burgrecht
119	1448	00627-eintrag_vom_1448-12-20.xml	1448-12-20	ev__SB_CD_00627	hat versaczt	Satz
120	1448	00966-eintrag_vom_1448-06-07.xml	1448-06-07	ev__SB_CD_00966	hat versaczt	Satz
121	1448	00967-eintrag_vom_1448-06-19.xml	1448-06-19	ev__SB_CD_00967	hat versaczt	Satz
122	1448	00968-eintrag_vom_1448-07-10.xml	1448-07-10	ev__SB_CD_00968	habend versaczt	Satz
123	1448	00969-eintrag_vom_1448-10-30.xml	1448-10-30	ev__SB_CD_00969	habent verkaufft | gelts purkrechts	Burgrecht
124	1448	00970-eintrag_vom_1448-11-20.xml	1448-11-20	ev__SB_CD_00970	hat verchaufft | gelts purkrechts	Burgrecht
125	1448	00971-eintrag_vom_1448-12-16.xml	1448-12-16	ev__SB_CD_00971	habent verchaufft | gelts purkrechts	Burgrecht
126	1448	01099-eintrag_vom_1448-02-20.xml	1448-02-20	ev__SB_CD_01099	hat versatzt	Satz
127	1448	01100-eintrag_vom_1448-04-29.xml	1448-04-29	ev__SB_CD_01100	hat versaczt	Satz
128	1448	01146-eintrag_vom_1448-04-12.xml	1448-04-12	ev__SB_CD_01146	hat versaczt die uberteurung	Satz_Ueberteurung
129	1448	01147-eintrag_vom_1448-04-29.xml	1448-04-29	ev__SB_CD_01147	hat verchaufft | gelts purkechts	Burgrecht
130	1448	01148-eintrag_vom_1448-05-17.xml	1448-05-17	ev__SB_CD_01148	hat versaczt	Satz
131	1448	01149-eintrag_vom_1448-09-02.xml	1448-09-02	ev__SB_CD_01149	habent versatzt	Satz
132	1448	01150-eintrag_vom_1448-03-04.xml	1448-03-04	ev__SB_CD_01150	hat versaczt die ubertewrung	Satz
133	1448	01239-eintrag_vom_1448-03-13.xml	1448-03-13	ev__SB_CD_01239	hat versaczt	Satz
134	1448	01240-eintrag_vom_1448-03-15.xml	1448-03-15	ev__SB_CD_01240	hat versaczt	Satz
135	1448	01241-eintrag_vom_1448-06-21.xml	1448-06-21	ev__SB_CD_01241	habent verchaufft | gelts purkrechts	Burgrecht
136	1448	01242-eintrag_vom_1448-11-15.xml	1448-11-15	ev__SB_CD_01242	habent versaczt	Satz
137	1448	01243-eintrag_vom_1448-09-13.xml	1448-09-13	ev__SB_CD_01243	hat versaczt die uberteurung	Satz_Ueberteurung
