	ID	sex	off	norm	related ID	rel_sex	collection	xml	year	date	from	to
92	pe__peter_mann_StB_I_86	m	chappellen	 	org__wien-burgkapelle	 	1_1395-1400	86.xml	1396	1396-09-26		
93	pe__beatrix_von_zollern_nuernberg_QGW_II_I_1048	f	herzogynn in Osterreich	 	org__oesterreich-herzogtum	 	1_1395-1400	86.xml	1396	1396-09-26		
94	pe__wilhelm_herzog_von_oesterreich_QGW_II_I_1313	m	herczog	 	org__oesterreich-herzogtum	 	1_1395-1400	86.xml	1396	1396-09-26		
95	pe__albrecht_iv_herzog_von_oesterreich_QGW_II_I_1332	m	mein genedig herren herczog	 	org__oesterreich-herzogtum	 	1_1395-1400	86.xml	1396	1396-09-26		
96	pe__heinrich_StB_I_89a	m	pharrer	Pfarrer	org__wien-st_ulrich	 	1_1395-1400	89a.xml	1396	1396-11-24		
97	pe__heinrich_StB_I_89a	m	curherr	Kanoniker	org__wien-st_stephan	 	1_1395-1400	89a.xml	1396	1396-11-24		
98	pe__ruediger_snurer_QGW_II_I_1557	m	statrichter	Richter_Stadt	org__wien	 	1_1395-1400	90.xml	1396	1396-11-24		
99	pe__berthold_StB_I_57	m	chirichmaister	Kirchmeister	org__wien-st_michael	 	1_1395-1400	92.xml	1396	1396-11-28		
100	pe__berthold_StB_I_57	m	gesworner	 	org__wien	 	1_1395-1400	92.xml	1396	1396-11-28		
101	pe__stephan_von_sievering_StB_I_99	m	richter	Richter	org__sievering-gemeinde	 	1_1395-1400	99.xml	1397	1397-01-13		
