	main_ID	ID	name_reg | name_orig	type	observance	linking	fn_role	event	collection	xml	date	text	text normed
71	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_43	1_1395-1400	43.xml	1396-03-14	probst dacz Sand Steffan	 
72	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_43	1_1395-1400	43.xml	1396-03-14	den achtern daselbs	 
73	org__wien-heiligengeistspital	org__wien-heiligengeistspital	Heiligengeistspital | 	Spital_Siechenhaus	 	ref	recipient	ev__StB_I_43	1_1395-1400	43.xml	1396-03-14	dem maister hincz dem Heiligen Geist	 
74	org__wien-heiligengeistspital	org__wien-heiligengeistspital	Heiligengeistspital | 	Spital_Siechenhaus	 	ref	recipient	ev__StB_I_43	1_1395-1400	43.xml	1396-03-14	den prudern daselbs	 
75	org__hennersdorf-pfarre_StB_I_43	org__hennersdorf-pfarre_StB_I_43	Pfarre Hennersdorf | 	Pfarre	 	ref	None	None	1_1395-1400	43.xml	1396-03-14	hincz Sand Andre und hincz Sand Erhart zu dem Liecht ze Hönesdorff	 
76	org__achau-pfarre	org__achau-pfarre	Achau-Pfarre | 	Pfarre	 	ref	None	None	1_1395-1400	43.xml	1396-03-14	pharrer ze Achaw	 
77	org__wien	org__wien	Wien | 	Stadt	 	corresp	other	ev__StB_I_430	1_1395-1400	430.xml	1399-09-27	rats	Ratsherr
78	org__wien	org__wien	Wien | 	Stadt	 	corresp	other	ev__StB_I_430	1_1395-1400	430.xml	1399-09-27	auzzern rats	 
79	org__wien-deutsche_herren	org__wien-deutsche_herren	Deutsche Herren | 	Kloster_m	OT	ref	recipient	ev__StB_I_431	1_1395-1400	431.xml	1399-09-30	Tewtschen herrn ze Wienn	 
80	org__emmersdorf-pfarre	org__emmersdorf-pfarre	Emmersdorf | 	Pfarre	 	corresp	issuer	ev__StB_I_432	1_1395-1400	432.xml	1399-06-18	pharrer	Pfarrer
81	org__untersiebenbrunn-pfarre	org__untersiebenbrunn-pfarre	Untersiebenbrunn | Niedersiebenbrunn	Pfarre	 	ref	recipient	ev__StB_I_435	1_1395-1400	435.xml	1399-10-02	goczhaws gen Sibenprunn	 
82	org__wien	org__wien	Wien | 	Stadt	 	corresp	other	ev__StB_I_436	1_1395-1400	436.xml	[datetime.date(1395, 1, 1), datetime.date(1400, 12, 31), '1395']	rats	Ratsherr
83	org__wien	org__wien	Wien | 	Stadt	 	corresp	other	ev__StB_I_436	1_1395-1400	436.xml	[datetime.date(1395, 1, 1), datetime.date(1400, 12, 31), '1395']	rats	Ratsherr
84	org__oesterreich-herzogtum	org__oesterreich-herzogtum	Herzogtum Österreich | 	Herzogtum	 	corresp	recipient	ev__StB_I_437	1_1395-1400	437.xml	1399-10-10	kamerschreiber	Schreiber_Kammer
85	org__oesterreich-herzogtum	org__oesterreich-herzogtum	Herzogtum Österreich | 	Herzogtum	 	corresp	other	ev__StB_I_437	1_1395-1400	437.xml	1399-10-10	forstmaister	Forstmeister
86	org__wien-augustiner_eremiten	org__wien-augustiner_eremiten	Augustinereremiten | 	Kloster_m	OESA	ref	recipient	ev__StB_I_444	1_1395-1400	444.xml	1399-11-13	Augenstinern	 
87	org__wien-augustiner_eremiten	org__wien-augustiner_eremiten	Augustinereremiten | 	Kloster_m	OESA	corresp	other	ev__StB_I_444	1_1395-1400	444.xml	1399-11-13	schaffer	Schaffer
88	org__wien-st_michael	org__wien-st_michael	St. Michael | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_445	1_1395-1400	445.xml	1399-11-13	Sand Michels pharrchirchen	 
89	org__wien-augustiner_eremiten	org__wien-augustiner_eremiten	Augustinereremiten | 	Kloster_m	OESA	ref	recipient	ev__StB_I_445	1_1395-1400	445.xml	1399-11-13	Augenstinern	 
90	org__wien-st_niklas	org__wien-st_niklas-kollegium	 	 	 	ref	recipient	ev__StB_I_446	1_1395-1400	446.xml	[datetime.date(1399, 11, 1), datetime.date(1399, 11, 30), '1399']	Sand Pernhart in der Sünnigerstrazze	 
91	org__wien-st_hieronymus	org__wien-st_hieronymus	 | 	Kloster_f	OSMM	ref	recipient	ev__StB_I_446	1_1395-1400	446.xml	[datetime.date(1399, 11, 1), datetime.date(1399, 11, 30), '1399']	Sand Jeronimen den frawn	 
92	org__wien-st_maria_am_gestade	org__wien-st_maria_am_gestade	Marienkapelle am Gestade, auf der Stetten | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_446	1_1395-1400	446.xml	[datetime.date(1399, 11, 1), datetime.date(1399, 11, 30), '1399']	Unser Frawn auf der Stetten	 
93	org__wien-minoriten	org__wien-minoriten	Minoriten | 	Kloster_m	OFMConv	ref	recipient	ev__StB_I_446	1_1395-1400	446.xml	[datetime.date(1399, 11, 1), datetime.date(1399, 11, 30), '1399']	Minnern brudern	 
94	org__wien-karmeliter	org__wien-karmeliter	Karmeliter-Weissenbrüder | 	Kloster_m	OCarm	ref	recipient	ev__StB_I_446	1_1395-1400	446.xml	[datetime.date(1399, 11, 1), datetime.date(1399, 11, 30), '1399']	Weissen brudern	 
95	org__wien-st_peter	org__wien-st_peter-kapelle_st_valentin	Valentinskapelle (St. Peter) | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_446	1_1395-1400	446.xml	[datetime.date(1399, 11, 1), datetime.date(1399, 11, 30), '1399']	Sand Valteins kappelln	 
96	org__wien-karmeliter	org__wien-karmeliter	Karmeliter-Weissenbrüder | 	Kloster_m	OCarm	ref	recipient	ev__StB_I_447	1_1395-1400	447.xml	1399-11-15	Unser Frawn brudern	 
97	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	corresp	other	ev__StB_I_448	1_1395-1400	448.xml	1399-11-15	curherr	Kanoniker
98	org__wien	org__wien	Wien | 	Stadt	 	corresp	other	ev__StB_I_448	1_1395-1400	448.xml	1399-11-15	gesworner des rats	Ratsherr
99	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	corresp	other	ev__StB_I_448	1_1395-1400	448.xml	1399-11-15	pawmaister	 
100	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	corresp	issuer	ev__StB_I_448	1_1395-1400	448.xml	1399-11-15	guster	 
101	org__hainfeld-pfarre	org__hainfeld-pfarre	Hainfeld-Pfarre | 	Pfarre	 	ref	recipient	ev__StB_I_45	1_1395-1400	45.xml	1396-03-18	pharrchirchen ze Hainfeld	 
102	org__hainfeld-pfarre	org__hainfeld-pfarre	Hainfeld-Pfarre | 	Pfarre	 	corresp	other	ev__StB_I_45	1_1395-1400	45.xml	1396-03-18	pharrer	Pfarrer
103	org__theras-pfarre	org__theras-pfarre	Theras | 	Pfarre	 	corresp	other	ev__StB_I_45	1_1395-1400	45.xml	1396-03-18	pharrer	Pfarrer
104	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	corresp	other	ev__StB_I_45	1_1395-1400	45.xml	1396-03-18	brobst	Propst
105	org__wien-st_hiob_zum_klagbaum	org__wien-st_hiob_zum_klagbaum	St. Hiob-zum Klagbaum | 	Spital_Siechenhaus	 	ref	recipient	ev__StB_I_47	1_1395-1400	47.xml	1396-03-18	herren in das spital	 
106	org__wien-st_hiob_zum_klagbaum	org__wien-st_hiob_zum_klagbaum-zeche_st_maria_StB_I_47	Frauenzeche | Unser Frawn zech	Zeche_Bruderschaft	 	ref	recipient	ev__StB_I_47	1_1395-1400	47.xml	1396-03-18	Unser Frawn zech daselbs	 
107	org__wien-st_michael	org__wien-st_michael-jahrtag_johann_schremlein_StB_I_48	 | 	Messe	 	ref	recipient	ev__StB_I_48	1_1395-1400	48.xml	1396-03-21	jartag zu Sand Michel	 
108	org__wien-dominikaner	org__wien-dominikaner-zeche_StB_I_48	 | 	Zeche_Bruderschaft	 	ref	recipient	ev__StB_I_48	1_1395-1400	48.xml	1396-03-21	den Predingern in die pruderschafft, da ich ynn gewesen pin	 
109	org__oesterreich-herzogtum	org__oesterreich-herzogtum	Herzogtum Österreich | 	Herzogtum	 	corresp	witness	ev__StB_I_48	1_1395-1400	48.xml	1396-03-21	der alt Chamerschreiber	 
110	org__wien-st_jakob_auf_der_huelben	org__wien-st_jakob_auf_der_huelben	St. Jakob-auf der Hülben | 	Kloster_f	CanReg	corresp	witness	ev__StB_I_49	1_1395-1400	49.xml	1396-04-01	die zeit chappelan ze Sand Jacob auf der Hulben ze Wienn	 
111	org__grein-pfarre	org__grein-pfarre	Pfarre Grein | 	Pfarre	 	corresp	issuer	ev__StB_I_49	1_1395-1400	49.xml	1396-04-01	die zeit pharrer ze Greyn	 
112	org__wien	org__wien	Wien | 	Stadt	 	ref	witness	ev__StB_I_50	1_1395-1400	50.xml	1396-04-11	die herren des rates	 
113	org__wien	org__wien	Wien | 	Stadt	 	ref	recipient	ev__StB_I_52	1_1395-1400	52.xml	[datetime.date(1395, 1, 1), datetime.date(1400, 12, 31), '1395']	Den erbern herren, dem purgermaister, dem richter und dem rat ze Wienn	 
114	org__tulln	org__tulln	Tulln | 	Stadt	 	ref	issuer	ev__StB_I_52	1_1395-1400	52.xml	[datetime.date(1395, 1, 1), datetime.date(1400, 12, 31), '1395']	der richter und der rat ze Tulln	 
115	org__wien-st_niklas_vor_stubentor_kapelle	org__wien-st_niklas_vor_stubentor_kapelle	armer alter St. Niklas (außerhalb d. Klosters) | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_53	1_1395-1400	53.xml	1396-04-20	der vorgenanten Sand Niclas chappellen	 
116	org__wien-st_niklas_vor_stubentor_kapelle	org__wien-st_niklas_vor_stubentor_kapelle	armer alter St. Niklas (außerhalb d. Klosters) | 	Kirche_Kapelle	 	corresp	other	ev__StB_I_53	1_1395-1400	53.xml	1396-04-20	zu den zeiten chappellan zu dem chlain Sand Nicla vor Stubentor ze Wienn	 
117	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	corresp	witness	ev__StB_I_55	1_1395-1400	55.xml	1396-05-02	die zeit parlyr des paws dacz Sand Stephann ze Wienn	 
118	org__prag	org__prag	Prag | 	Stadt	 	ref	issuer	ev__StB_I_56	1_1395-1400	56.xml	1396-04-21	Burgermaister, rat und schephen der grossern stat zu Prage	 
119	org__wien-st_michael	org__wien-st_michael	St. Michael | 	Kirche_Kapelle	 	corresp	witness	ev__StB_I_57	1_1395-1400	57.xml	1396-05-30	die zeit chirchmaister dacz Sand Michel ze Wienn	 
120	org__wien-st_hiob_zum_klagbaum	org__wien-st_hiob_zum_klagbaum	St. Hiob-zum Klagbaum | 	Spital_Siechenhaus	 	ref	recipient	ev__StB_I_62	1_1395-1400	62.xml	1396-06-20	den Klagpawm	 
121	org__wien-st_lazarus_siechenhaus	org__wien-st_lazarus_siechenhaus	St. Lazarus-Siechenhaus (St. Marx) | 	Spital_Siechenhaus	 	ref	recipient	ev__StB_I_62	1_1395-1400	62.xml	1396-06-20	Sand Marchs	 
122	org__wien-st_johann_in_der_siechenals	org__wien-st_johann_in_der_siechenals	St. Johannes in der Siechenals | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_62	1_1395-1400	62.xml	1396-06-20	Sand Johanns in der Siechenalzz	 
123	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_62	1_1395-1400	62.xml	1396-06-20	zu Sand Stephann zu dem paw	 
124	org__wien-st_peter	org__wien-st_peter	S. Peter (I. Bezirk) | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_62	1_1395-1400	62.xml	1396-06-20	Sand Peter	 
125	org__wien	org__wien	Wien | 	Stadt	 	corresp	witness	ev__StB_I_62	1_1395-1400	62.xml	1396-06-20	die zeit des rats ze Wienn	 
126	org__engelhartszell-gemeinde	org__engelhartszell-gemeinde	Engelhartszell | 	Gemeinde	 	corresp	witness	ev__StB_I_65	1_1395-1400	65.xml	1396-07-24	richter ze Engelhartzzell	 
127	org__engelhartszell-zisterzienser	org__engelhartszell-zisterzienser	Engelhartszell-Zisterzienser | 	Kloster_m	OCist	corresp	issuer	ev__StB_I_65	1_1395-1400	65.xml	1396-07-24	Abpt	Abt_in
128	org__wien-st_peter	org__wien-st_peter	S. Peter (I. Bezirk) | 	Kirche_Kapelle	 	corresp	witness	ev__StB_I_67	1_1395-1400	67.xml	1396-07-14	dem erbern priester	 
129	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	corresp	witness	ev__StB_I_67	1_1395-1400	67.xml	1396-07-14	die zeit viceri dacz Sand Stephan ze Wienn	 
130	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_68	1_1395-1400	68.xml	1396-07-18	Sand Stephan ze Wienn zu dem paw	 
131	org__wien-dominikaner	org__wien-dominikaner	Dominikaner | 	Kloster_m	OP	ref	recipient	ev__StB_I_68	1_1395-1400	68.xml	1396-07-18	den Predigern	 
132	org__wien-st_jakob_auf_der_huelben	org__wien-st_jakob_auf_der_huelben	St. Jakob-auf der Hülben | 	Kloster_f	CanReg	ref	recipient	ev__StB_I_68	1_1395-1400	68.xml	1396-07-18	den geistleichen frawn hincz Sand Jacob ze Wienn	 
133	org__wien-st_stephan	org__wien-st_stephan-messe_michael_vinkch_StB_70	Messe Michael Vinkch | 	Messe	 	ref	recipient	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	hincz aller heyligen tumchirehen hincz Sand Stephann ze Wienne ein ewigew mess widmen und stifften sullen mit puch, mit messgewant und mit ehelich und mit zwayn (fol.llr) erbern priestern und kapplenen, die deselben ewigen messe alle tag tegleich an underlas sprechen und verwesen sullen got und Unser Frawn, allen heiligen und allem hymlischen her zu lob und ze ern und mein und aller meiner vo- dern seligen und nachkomen selen ze hail und ze trost	 
134	org__wien	org__wien	Wien | 	Stadt	 	ref	other	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	der rat der stat zu Wienne	 
135	org__wien-schotten	org__wien-schotten	Schottenkloster Wien | 	Kloster_m	OSB	ref	recipient	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	den Schotten	 
136	org__wien-minoriten	org__wien-minoriten	Minoriten | 	Kloster_m	OFMConv	ref	None	None	1_1395-1400	70.xml	1392-08-31	hincz den Mynnern prudern	 
137	org__wien-augustiner_eremiten	org__wien-augustiner_eremiten	Augustinereremiten | 	Kloster_m	OESA	ref	recipient	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	den Augustynern	 
138	org__wien-karmeliter	org__wien-karmeliter	Karmeliter-Weissenbrüder | 	Kloster_m	OCarm	ref	recipient	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	Unser Frawn pruder des ordens von dem perkch Karmelo	 
139	org__wien-dominikaner	org__wien-dominikaner	Dominikaner | 	Kloster_m	OP	ref	recipient	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	den Predingern zu Wienne	 
140	org__wien-st_klara	org__wien-st_klara	St. Klara | 	Kloster_f	OSCl	ref	recipient	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	Sand Chlarn	 
141	org__wien-st_laurenz_am_alten_fleischmarkt	org__wien-st_laurenz_am_alten_fleischmarkt	St. Laurenz-am alten Fleischmarkt | 	Kloster_f	OP	ref	recipient	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	Sand Larenczen	 
142	org__wien-st_maria_magdalena_vor_dem_schottentor	org__wien-st_maria_magdalena_vor_dem_schottentor	St. Maria Magdalena vor dem Schottentor | 	Kloster_f	OSMM	ref	recipient	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	Sand Mariemagdalen	 
143	org__wien-st_niklas_vor_dem_stubentor_zisterzienserinnen	org__wien-st_niklas_vor_dem_stubentor_zisterzienserinnen	St. Niklas-vor dem Stubentor | 	Kloster_f	OCist	ref	recipient	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	Sand Nicla	 
144	org__wien-st_agnes_auf_der_himmelpforte	org__wien-st_agnes_auf_der_himmelpforte	St. Agnes-auf der Himmelpforte | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	den Hymelporten	 
145	org__wien-st_jakob_auf_der_huelben	org__wien-st_jakob_auf_der_huelben	St. Jakob-auf der Hülben | 	Kloster_f	CanReg	ref	recipient	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	Sand Jacob	 
146	org__wien-st_hieronymus	org__wien-st_hieronymus	 | 	Kloster_f	OSMM	ref	recipient	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	Sand Jeronimo	 
147	org__wien-st_johann_in_der_siechenals	org__wien-st_johann_in_der_siechenals	St. Johannes in der Siechenals | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	Sand Johanns	 
148	org__wien-st_lazarus_siechenhaus	org__wien-st_lazarus_siechenhaus	St. Lazarus-Siechenhaus (St. Marx) | 	Spital_Siechenhaus	 	ref	recipient	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	Sand Marx	 
149	org__wien-st_hiob_zum_klagbaum	org__wien-st_hiob_zum_klagbaum	St. Hiob-zum Klagbaum | 	Spital_Siechenhaus	 	ref	recipient	ev__StB_I_70	1_1395-1400	70.xml	1392-08-31	dem Chlagpawm	 
