	main_ID	ID	name_reg | name_orig	type	observance	linking	fn_role	event	collection	xml	date	text	text normed
168	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	ref	recipient	ev__StB_I_85	1_1395-1400	85.xml	1396-09-28	Sand Stephan	 
169	org__wien-karmeliter	org__wien-karmeliter	Karmeliter-Weissenbrüder | 	Kloster_m	OCarm	ref	recipient	ev__StB_I_85	1_1395-1400	85.xml	1396-09-28	Unser Frawn prudern	 
170	org__wien-minoriten	org__wien-minoriten	Minoriten | 	Kloster_m	OFMConv	ref	recipient	ev__StB_I_85	1_1395-1400	85.xml	1396-09-28	Mynnern prudern	 
171	org__wien-karmeliter	org__wien-karmeliter-jahrtag_heinrich_gredniczer_StB_I_85	 | 	Messe	 	ref	recipient	ev__StB_I_85	1_1395-1400	85.xml	1396-09-28	jartag	 
172	org__wien	org__wien	Wien | 	Stadt	 	corresp	witness	ev__StB_I_85	1_1395-1400	85.xml	1396-09-28	rats	Ratsherr
173	org__ladendorf-pfarre	org__ladendorf-pfarre	Pfarre Ladendorf | 	Pfarre	 	corresp	other	ev__StB_I_85	1_1395-1400	85.xml	1396-09-28	pharrer zu Ladendorff	 
174	org__wien-burgkapelle	org__wien-burgkapelle-messe_beatrix_von_zollern_nuernberg	 | 	Messe	 	ref	recipient	ev__StB_I_86	1_1395-1400	86.xml	1396-09-26	zu der mess	 
175	org__wien-st_michael	org__wien-st_michael-kapelle_st_niklas	 | 	Kirche_Kapelle	 	corresp	other	ev__StB_I_86	1_1395-1400	86.xml	1396-09-26	chapplan	Kaplan
176	org__hollenstein_an_der_ybbs-pfarre	org__hollenstein_an_der_ybbs-pfarre	Pfarre Hollenstein an der Ybbs | 	Pfarre	 	corresp	other	ev__StB_I_86	1_1395-1400	86.xml	1396-09-26	pharrer	Pfarrer
177	org__dobersberg-pfarre	org__dobersberg-pfarre	Pfarre Dobersberg | 	Pfarre	 	corresp	witness	ev__StB_I_86	1_1395-1400	86.xml	1396-09-26	pharrer	Pfarrer
178	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	corresp	witness	ev__StB_I_86	1_1395-1400	86.xml	1396-09-26	chorherren	Chorherr
179	org__wildberg-pfarre	org__wildberg-pfarre	Pfarre Wildberg (heutige Bezeichnung: Pfarre Messern) | 	Pfarre	 	corresp	witness	ev__StB_I_86	1_1395-1400	86.xml	1396-09-26	pharrer	Pfarrer
180	org__wien-st_michael	org__wien-st_michael	St. Michael | 	Kirche_Kapelle	 	corresp	issuer	ev__StB_I_86	1_1395-1400	86.xml	1396-09-26	pharrer	Pfarrer
181	org__wien-burgkapelle	org__wien-burgkapelle	Burgkapelle in der Wiener Hofburg | 	Kirche_Kapelle	 	corresp	issuer	ev__StB_I_86	1_1395-1400	86.xml	1396-09-26	chappellen	 
182	org__oesterreich-herzogtum	org__oesterreich-herzogtum	Herzogtum Österreich | 	Herzogtum	 	corresp	issuer	ev__StB_I_86	1_1395-1400	86.xml	1396-09-26	herzogynn in Osterreich	 
183	org__oesterreich-herzogtum	org__oesterreich-herzogtum	Herzogtum Österreich | 	Herzogtum	 	corresp	witness	ev__StB_I_86	1_1395-1400	86.xml	1396-09-26	herczog	 
184	org__oesterreich-herzogtum	org__oesterreich-herzogtum	Herzogtum Österreich | 	Herzogtum	 	corresp	witness	ev__StB_I_86	1_1395-1400	86.xml	1396-09-26	mein genedig	 
185	org__wien-st_ulrich	org__wien-st_ulrich	St. Ulrich Wien | 	Kirche_Kapelle	 	corresp	issuer	ev__StB_I_89a	1_1395-1400	89a.xml	1396-11-24	pharrer	Pfarrer
186	org__wien-st_stephan	org__wien-st_stephan	St. Stephan | 	Kirche_Kapelle	 	corresp	issuer	ev__StB_I_89a	1_1395-1400	89a.xml	1396-11-24	curherr	Kanoniker
187	org__wien	org__wien	Wien | 	Stadt	 	corresp	witness	ev__StB_I_90	1_1395-1400	90.xml	1396-11-24	statrichter	Richter_Stadt
188	org__wien-st_michael	org__wien-st_michael	St. Michael | 	Kirche_Kapelle	 	corresp	witness	ev__StB_I_92	1_1395-1400	92.xml	1396-11-28	chirichmaister	Kirchmeister
189	org__wien	org__wien	Wien | 	Stadt	 	corresp	witness	ev__StB_I_92	1_1395-1400	92.xml	1396-11-28	gesworner	 
190	org__sievering-gemeinde	org__sievering-gemeinde	Gemeinde Sievering | 	Gemeinde	 	corresp	witness	ev__StB_I_99	1_1395-1400	99.xml	1397-01-13	richter	Richter
